StartDate,EndDate,PubDate,UniqueID,PerformerType,PerformerName,SameAs,Language,EventType,EventNameRus,EventNameEng,EventNameSrb,CoverImage,SpotifyButton,Section,ShortDescriptionRus,ShortDescriptionEng,ShortDescriptionSrb,LongDescriptionRus,LongDescriptionEng,LongDescriptionSrb,Time,PriceDin,PlaceName,PlaceAddress,GoogleMap,EventPage,SourceName,TicketsLink,OrganizerName,OrganizerPageURL,OrganizerEmail,OrganizerPhone,AgeRestriction,EventCapacity,ImageGallery,TagsRus,TagsEng,TagsSrb
9/14/2026,9/14/2026,9/4/2026,1141,Organization,Muzej Nikole Tesle,https://tesla-museum.org/,,ChildrensEvent,Бесплатные экскурсии для малышей в Музее Николы Теслы,Free guided tours for small children at the Nikola Tesla Museum,Besplatne ture za najmlađe u Muzeju Nikole Tesle,https://raw.githubusercontent.com/newsgl/arsposters/main/1141-BesplatneTureTeslaMuzej.webp,,Kids,"Музей водит детей от 4 до 7 лет на получасовую экскурсию с опытами. 14 сентября, понедельник, в 10:00, вход свободный по записи.","The museum runs a half-hour tour with experiments for children aged 4 to 7. Monday 14 September at 10:00, free with booking.","Muzej vodi decu od 4 do 7 godina na polučasovnu turu sa ogledima. U ponedeljak 14. septembara u 10.00, besplatno uz prijavu.","Экскурсия в **Музее Николы Теслы** для самых маленьких посетителей, рассчитана на детей от 4 до 7 лет. Гид рассказывает о Тесле и его изобретениях простыми словами, без школьной терминологии.

Опыты с электричеством показывают в лёгкой и безопасной форме, ближе к небольшому научному шоу, чем к лекции. Экскурсия длится около получаса, чтобы дети не устали.

Музей проводит такие экскурсии по понедельникам. Эта карточка про занятие в понедельник 14 сентября.

Время: начало в 10:00.

Цена: вход свободный, по предварительной записи.

Запись: по почте poseta@tesla-museum.org или по телефону 011/2433-886.","A tour of the **Nikola Tesla Museum** built for its youngest visitors, children aged 4 to 7. The guide talks about Tesla and his inventions in plain words, without textbook terminology.

The electricity demonstrations are kept light and safe, closer to a small science show than to a lecture. The tour runs about half an hour so that children do not tire of it.

The museum holds these tours on Mondays. This listing covers the session on Monday 14 September.

Time: starts at 10:00.

Price: free, with prior booking.

Booking: by email to poseta@tesla-museum.org or by phone on 011/2433-886.","Tura kroz **Muzej Nikole Tesle** namenjena najmlađim posetiocima, deci od 4 do 7 godina. Vodič priča o Tesli i njegovim izumima jednostavnim rečima, bez školske terminologije.

Ogledi sa elektricitetom izvode se lako i bezbedno, bliže malom naučnom šou nego predavanju, tako da deca gledaju struju na delu bez ijednog rizika.

Muzej ove ture drži ponedeljkom. Ova stranica se odnosi na termin u ponedeljak 14. septembara.

Vreme: početak u 10.00.

Cena: ulaz je slobodan, uz prethodnu prijavu.

Prijava: na poseta@tesla-museum.org ili telefonom na 011/2433-886.",10:00,0,Muzej Nikole Tesle,"Krunska 51, 11000 Beograd","44.805105,20.470700",https://tesla-museum.org/,@arsraws,,Muzej Nikole Tesle,https://tesla-museum.org/,poseta@tesla-museum.org,+381 11 2433886,4-7,,,"детям, музей, экскурсия, наука, бесплатно, Врачар","for kids, museum, guided tour, science, free, Vracar","za decu, muzej, tura, nauka, besplatno, Vračar"
9/21/2026,9/21/2026,9/4/2026,1143,Organization,Muzej Nikole Tesle,https://tesla-museum.org/,,ChildrensEvent,Бесплатные экскурсии для малышей в Музее Николы Теслы,Free guided tours for small children at the Nikola Tesla Museum,Besplatne ture za najmlađe u Muzeju Nikole Tesle,https://raw.githubusercontent.com/newsgl/arsposters/main/1143-BesplatneTureTeslaMuzej.webp,,Kids,"Музей водит детей от 4 до 7 лет на получасовую экскурсию с опытами. 21 сентября, понедельник, в 10:00, вход свободный по записи.","The museum runs a half-hour tour with experiments for children aged 4 to 7. Monday 21 September at 10:00, free with booking.","Muzej vodi decu od 4 do 7 godina na polučasovnu turu sa ogledima. U ponedeljak 21. septembara u 10.00, besplatno uz prijavu.","Экскурсия в **Музее Николы Теслы** для самых маленьких посетителей, рассчитана на детей от 4 до 7 лет. Гид рассказывает о Тесле и его изобретениях простыми словами, без школьной терминологии.

Опыты с электричеством показывают в лёгкой и безопасной форме, ближе к небольшому научному шоу, чем к лекции. Экскурсия длится около получаса, чтобы дети не устали.

Музей проводит такие экскурсии по понедельникам. Эта карточка про занятие в понедельник 21 сентября.

Время: начало в 10:00.

Цена: вход свободный, по предварительной записи.

Запись: по почте poseta@tesla-museum.org или по телефону 011/2433-886.","A tour of the **Nikola Tesla Museum** built for its youngest visitors, children aged 4 to 7. The guide talks about Tesla and his inventions in plain words, without textbook terminology.

The electricity demonstrations are kept light and safe, closer to a small science show than to a lecture. The tour runs about half an hour so that children do not tire of it.

The museum holds these tours on Mondays. This listing covers the session on Monday 21 September.

Time: starts at 10:00.

Price: free, with prior booking.

Booking: by email to poseta@tesla-museum.org or by phone on 011/2433-886.","Tura kroz **Muzej Nikole Tesle** namenjena najmlađim posetiocima, deci od 4 do 7 godina. Vodič priča o Tesli i njegovim izumima jednostavnim rečima, bez školske terminologije.

Ogledi sa elektricitetom izvode se lako i bezbedno, bliže malom naučnom šou nego predavanju, tako da deca gledaju struju na delu bez ijednog rizika.

Muzej ove ture drži ponedeljkom. Ova stranica se odnosi na termin u ponedeljak 21. septembara.

Vreme: početak u 10.00.

Cena: ulaz je slobodan, uz prethodnu prijavu.

Prijava: na poseta@tesla-museum.org ili telefonom na 011/2433-886.",10:00,0,Muzej Nikole Tesle,"Krunska 51, 11000 Beograd","44.805105,20.470700",https://tesla-museum.org/,@arsraws,,Muzej Nikole Tesle,https://tesla-museum.org/,poseta@tesla-museum.org,+381 11 2433886,4-7,,,"детям, музей, экскурсия, наука, бесплатно, Врачар","for kids, museum, guided tour, science, free, Vracar","za decu, muzej, tura, nauka, besplatno, Vračar"
9/28/2026,9/28/2026,9/4/2026,1144,Organization,Muzej Nikole Tesle,https://tesla-museum.org/,,ChildrensEvent,Бесплатные экскурсии для малышей в Музее Николы Теслы,Free guided tours for small children at the Nikola Tesla Museum,Besplatne ture za najmlađe u Muzeju Nikole Tesle,https://raw.githubusercontent.com/newsgl/arsposters/main/1144-BesplatneTureTeslaMuzej.webp,,Kids,"Музей водит детей от 4 до 7 лет на получасовую экскурсию с опытами. 28 сентября, понедельник, в 10:00, вход свободный по записи.","The museum runs a half-hour tour with experiments for children aged 4 to 7. Monday 28 September at 10:00, free with booking.","Muzej vodi decu od 4 do 7 godina na polučasovnu turu sa ogledima. U ponedeljak 28. septembara u 10.00, besplatno uz prijavu.","Экскурсия в **Музее Николы Теслы** для самых маленьких посетителей, рассчитана на детей от 4 до 7 лет. Гид рассказывает о Тесле и его изобретениях простыми словами, без школьной терминологии.

Опыты с электричеством показывают в лёгкой и безопасной форме, ближе к небольшому научному шоу, чем к лекции. Экскурсия длится около получаса, чтобы дети не устали.

Музей проводит такие экскурсии по понедельникам. Эта карточка про занятие в понедельник 28 сентября.

Время: начало в 10:00.

Цена: вход свободный, по предварительной записи.

Запись: по почте poseta@tesla-museum.org или по телефону 011/2433-886.","A tour of the **Nikola Tesla Museum** built for its youngest visitors, children aged 4 to 7. The guide talks about Tesla and his inventions in plain words, without textbook terminology.

The electricity demonstrations are kept light and safe, closer to a small science show than to a lecture. The tour runs about half an hour so that children do not tire of it.

The museum holds these tours on Mondays. This listing covers the session on Monday 28 September.

Time: starts at 10:00.

Price: free, with prior booking.

Booking: by email to poseta@tesla-museum.org or by phone on 011/2433-886.","Tura kroz **Muzej Nikole Tesle** namenjena najmlađim posetiocima, deci od 4 do 7 godina. Vodič priča o Tesli i njegovim izumima jednostavnim rečima, bez školske terminologije.

Ogledi sa elektricitetom izvode se lako i bezbedno, bliže malom naučnom šou nego predavanju, tako da deca gledaju struju na delu bez ijednog rizika.

Muzej ove ture drži ponedeljkom. Ova stranica se odnosi na termin u ponedeljak 28. septembara.

Vreme: početak u 10.00.

Cena: ulaz je slobodan, uz prethodnu prijavu.

Prijava: na poseta@tesla-museum.org ili telefonom na 011/2433-886.",10:00,0,Muzej Nikole Tesle,"Krunska 51, 11000 Beograd","44.805105,20.470700",https://tesla-museum.org/,@arsraws,,Muzej Nikole Tesle,https://tesla-museum.org/,poseta@tesla-museum.org,+381 11 2433886,4-7,,,"детям, музей, экскурсия, наука, бесплатно, Врачар","for kids, museum, guided tour, science, free, Vracar","za decu, muzej, tura, nauka, besplatno, Vračar"
10/5/2026,10/5/2026,9/4/2026,1145,Organization,Muzej Nikole Tesle,https://tesla-museum.org/,,ChildrensEvent,Бесплатные экскурсии для малышей в Музее Николы Теслы,Free guided tours for small children at the Nikola Tesla Museum,Besplatne ture za najmlađe u Muzeju Nikole Tesle,https://raw.githubusercontent.com/newsgl/arsposters/main/1145-BesplatneTureTeslaMuzej.webp,,Kids,"Музей водит детей от 4 до 7 лет на получасовую экскурсию с опытами. 5 октября, понедельник, в 10:00, вход свободный по записи.","The museum runs a half-hour tour with experiments for children aged 4 to 7. Monday 5 October at 10:00, free with booking.","Muzej vodi decu od 4 do 7 godina na polučasovnu turu sa ogledima. U ponedeljak 5. oktobara u 10.00, besplatno uz prijavu.","Экскурсия в **Музее Николы Теслы** для самых маленьких посетителей, рассчитана на детей от 4 до 7 лет. Гид рассказывает о Тесле и его изобретениях простыми словами, без школьной терминологии.

Опыты с электричеством показывают в лёгкой и безопасной форме, ближе к небольшому научному шоу, чем к лекции. Экскурсия длится около получаса, чтобы дети не устали.

Музей проводит такие экскурсии по понедельникам. Эта карточка про занятие в понедельник 5 октября.

Время: начало в 10:00.

Цена: вход свободный, по предварительной записи.

Запись: по почте poseta@tesla-museum.org или по телефону 011/2433-886.","A tour of the **Nikola Tesla Museum** built for its youngest visitors, children aged 4 to 7. The guide talks about Tesla and his inventions in plain words, without textbook terminology.

The electricity demonstrations are kept light and safe, closer to a small science show than to a lecture. The tour runs about half an hour so that children do not tire of it.

The museum holds these tours on Mondays. This listing covers the session on Monday 5 October.

Time: starts at 10:00.

Price: free, with prior booking.

Booking: by email to poseta@tesla-museum.org or by phone on 011/2433-886.","Tura kroz **Muzej Nikole Tesle** namenjena najmlađim posetiocima, deci od 4 do 7 godina. Vodič priča o Tesli i njegovim izumima jednostavnim rečima, bez školske terminologije.

Ogledi sa elektricitetom izvode se lako i bezbedno, bliže malom naučnom šou nego predavanju, tako da deca gledaju struju na delu bez ijednog rizika.

Muzej ove ture drži ponedeljkom. Ova stranica se odnosi na termin u ponedeljak 5. oktobara.

Vreme: početak u 10.00.

Cena: ulaz je slobodan, uz prethodnu prijavu.

Prijava: na poseta@tesla-museum.org ili telefonom na 011/2433-886.",10:00,0,Muzej Nikole Tesle,"Krunska 51, 11000 Beograd","44.805105,20.470700",https://tesla-museum.org/,@arsraws,,Muzej Nikole Tesle,https://tesla-museum.org/,poseta@tesla-museum.org,+381 11 2433886,4-7,,,"детям, музей, экскурсия, наука, бесплатно, Врачар","for kids, museum, guided tour, science, free, Vracar","za decu, muzej, tura, nauka, besplatno, Vračar"
10/12/2026,10/12/2026,9/4/2026,1146,Organization,Muzej Nikole Tesle,https://tesla-museum.org/,,ChildrensEvent,Бесплатные экскурсии для малышей в Музее Николы Теслы,Free guided tours for small children at the Nikola Tesla Museum,Besplatne ture za najmlađe u Muzeju Nikole Tesle,https://raw.githubusercontent.com/newsgl/arsposters/main/1146-BesplatneTureTeslaMuzej.webp,,Kids,"Музей водит детей от 4 до 7 лет на получасовую экскурсию с опытами. 12 октября, понедельник, в 10:00, вход свободный по записи.","The museum runs a half-hour tour with experiments for children aged 4 to 7. Monday 12 October at 10:00, free with booking.","Muzej vodi decu od 4 do 7 godina na polučasovnu turu sa ogledima. U ponedeljak 12. oktobara u 10.00, besplatno uz prijavu.","Экскурсия в **Музее Николы Теслы** для самых маленьких посетителей, рассчитана на детей от 4 до 7 лет. Гид рассказывает о Тесле и его изобретениях простыми словами, без школьной терминологии.

Опыты с электричеством показывают в лёгкой и безопасной форме, ближе к небольшому научному шоу, чем к лекции. Экскурсия длится около получаса, чтобы дети не устали.

Музей проводит такие экскурсии по понедельникам. Эта карточка про занятие в понедельник 12 октября.

Время: начало в 10:00.

Цена: вход свободный, по предварительной записи.

Запись: по почте poseta@tesla-museum.org или по телефону 011/2433-886.","A tour of the **Nikola Tesla Museum** built for its youngest visitors, children aged 4 to 7. The guide talks about Tesla and his inventions in plain words, without textbook terminology.

The electricity demonstrations are kept light and safe, closer to a small science show than to a lecture. The tour runs about half an hour so that children do not tire of it.

The museum holds these tours on Mondays. This listing covers the session on Monday 12 October.

Time: starts at 10:00.

Price: free, with prior booking.

Booking: by email to poseta@tesla-museum.org or by phone on 011/2433-886.","Tura kroz **Muzej Nikole Tesle** namenjena najmlađim posetiocima, deci od 4 do 7 godina. Vodič priča o Tesli i njegovim izumima jednostavnim rečima, bez školske terminologije.

Ogledi sa elektricitetom izvode se lako i bezbedno, bliže malom naučnom šou nego predavanju, tako da deca gledaju struju na delu bez ijednog rizika.

Muzej ove ture drži ponedeljkom. Ova stranica se odnosi na termin u ponedeljak 12. oktobara.

Vreme: početak u 10.00.

Cena: ulaz je slobodan, uz prethodnu prijavu.

Prijava: na poseta@tesla-museum.org ili telefonom na 011/2433-886.",10:00,0,Muzej Nikole Tesle,"Krunska 51, 11000 Beograd","44.805105,20.470700",https://tesla-museum.org/,@arsraws,,Muzej Nikole Tesle,https://tesla-museum.org/,poseta@tesla-museum.org,+381 11 2433886,4-7,,,"детям, музей, экскурсия, наука, бесплатно, Врачар","for kids, museum, guided tour, science, free, Vracar","za decu, muzej, tura, nauka, besplatno, Vračar"
10/19/2026,10/19/2026,9/4/2026,1147,Organization,Muzej Nikole Tesle,https://tesla-museum.org/,,ChildrensEvent,Бесплатные экскурсии для малышей в Музее Николы Теслы,Free guided tours for small children at the Nikola Tesla Museum,Besplatne ture za najmlađe u Muzeju Nikole Tesle,https://raw.githubusercontent.com/newsgl/arsposters/main/1147-BesplatneTureTeslaMuzej.webp,,Kids,"Музей водит детей от 4 до 7 лет на получасовую экскурсию с опытами. 19 октября, понедельник, в 10:00, вход свободный по записи.","The museum runs a half-hour tour with experiments for children aged 4 to 7. Monday 19 October at 10:00, free with booking.","Muzej vodi decu od 4 do 7 godina na polučasovnu turu sa ogledima. U ponedeljak 19. oktobara u 10.00, besplatno uz prijavu.","Экскурсия в **Музее Николы Теслы** для самых маленьких посетителей, рассчитана на детей от 4 до 7 лет. Гид рассказывает о Тесле и его изобретениях простыми словами, без школьной терминологии.

Опыты с электричеством показывают в лёгкой и безопасной форме, ближе к небольшому научному шоу, чем к лекции. Экскурсия длится около получаса, чтобы дети не устали.

Музей проводит такие экскурсии по понедельникам. Эта карточка про занятие в понедельник 19 октября.

Время: начало в 10:00.

Цена: вход свободный, по предварительной записи.

Запись: по почте poseta@tesla-museum.org или по телефону 011/2433-886.","A tour of the **Nikola Tesla Museum** built for its youngest visitors, children aged 4 to 7. The guide talks about Tesla and his inventions in plain words, without textbook terminology.

The electricity demonstrations are kept light and safe, closer to a small science show than to a lecture. The tour runs about half an hour so that children do not tire of it.

The museum holds these tours on Mondays. This listing covers the session on Monday 19 October.

Time: starts at 10:00.

Price: free, with prior booking.

Booking: by email to poseta@tesla-museum.org or by phone on 011/2433-886.","Tura kroz **Muzej Nikole Tesle** namenjena najmlađim posetiocima, deci od 4 do 7 godina. Vodič priča o Tesli i njegovim izumima jednostavnim rečima, bez školske terminologije.

Ogledi sa elektricitetom izvode se lako i bezbedno, bliže malom naučnom šou nego predavanju, tako da deca gledaju struju na delu bez ijednog rizika.

Muzej ove ture drži ponedeljkom. Ova stranica se odnosi na termin u ponedeljak 19. oktobara.

Vreme: početak u 10.00.

Cena: ulaz je slobodan, uz prethodnu prijavu.

Prijava: na poseta@tesla-museum.org ili telefonom na 011/2433-886.",10:00,0,Muzej Nikole Tesle,"Krunska 51, 11000 Beograd","44.805105,20.470700",https://tesla-museum.org/,@arsraws,,Muzej Nikole Tesle,https://tesla-museum.org/,poseta@tesla-museum.org,+381 11 2433886,4-7,,,"детям, музей, экскурсия, наука, бесплатно, Врачар","for kids, museum, guided tour, science, free, Vracar","za decu, muzej, tura, nauka, besplatno, Vračar"
10/26/2026,10/26/2026,9/4/2026,1148,Organization,Muzej Nikole Tesle,https://tesla-museum.org/,,ChildrensEvent,Бесплатные экскурсии для малышей в Музее Николы Теслы,Free guided tours for small children at the Nikola Tesla Museum,Besplatne ture za najmlađe u Muzeju Nikole Tesle,https://raw.githubusercontent.com/newsgl/arsposters/main/1148-BesplatneTureTeslaMuzej.webp,,Kids,"Музей водит детей от 4 до 7 лет на получасовую экскурсию с опытами. 26 октября, понедельник, в 10:00, вход свободный по записи.","The museum runs a half-hour tour with experiments for children aged 4 to 7. Monday 26 October at 10:00, free with booking.","Muzej vodi decu od 4 do 7 godina na polučasovnu turu sa ogledima. U ponedeljak 26. oktobara u 10.00, besplatno uz prijavu.","Экскурсия в **Музее Николы Теслы** для самых маленьких посетителей, рассчитана на детей от 4 до 7 лет. Гид рассказывает о Тесле и его изобретениях простыми словами, без школьной терминологии.

Опыты с электричеством показывают в лёгкой и безопасной форме, ближе к небольшому научному шоу, чем к лекции. Экскурсия длится около получаса, чтобы дети не устали.

Музей проводит такие экскурсии по понедельникам. Эта карточка про занятие в понедельник 26 октября.

Время: начало в 10:00.

Цена: вход свободный, по предварительной записи.

Запись: по почте poseta@tesla-museum.org или по телефону 011/2433-886.","A tour of the **Nikola Tesla Museum** built for its youngest visitors, children aged 4 to 7. The guide talks about Tesla and his inventions in plain words, without textbook terminology.

The electricity demonstrations are kept light and safe, closer to a small science show than to a lecture. The tour runs about half an hour so that children do not tire of it.

The museum holds these tours on Mondays. This listing covers the session on Monday 26 October.

Time: starts at 10:00.

Price: free, with prior booking.

Booking: by email to poseta@tesla-museum.org or by phone on 011/2433-886.","Tura kroz **Muzej Nikole Tesle** namenjena najmlađim posetiocima, deci od 4 do 7 godina. Vodič priča o Tesli i njegovim izumima jednostavnim rečima, bez školske terminologije.

Ogledi sa elektricitetom izvode se lako i bezbedno, bliže malom naučnom šou nego predavanju, tako da deca gledaju struju na delu bez ijednog rizika.

Muzej ove ture drži ponedeljkom. Ova stranica se odnosi na termin u ponedeljak 26. oktobara.

Vreme: početak u 10.00.

Cena: ulaz je slobodan, uz prethodnu prijavu.

Prijava: na poseta@tesla-museum.org ili telefonom na 011/2433-886.",10:00,0,Muzej Nikole Tesle,"Krunska 51, 11000 Beograd","44.805105,20.470700",https://tesla-museum.org/,@arsraws,,Muzej Nikole Tesle,https://tesla-museum.org/,poseta@tesla-museum.org,+381 11 2433886,4-7,,,"детям, музей, экскурсия, наука, бесплатно, Врачар","for kids, museum, guided tour, science, free, Vracar","za decu, muzej, tura, nauka, besplatno, Vračar"
11/2/2026,11/2/2026,9/4/2026,1149,Organization,Muzej Nikole Tesle,https://tesla-museum.org/,,ChildrensEvent,Бесплатные экскурсии для малышей в Музее Николы Теслы,Free guided tours for small children at the Nikola Tesla Museum,Besplatne ture za najmlađe u Muzeju Nikole Tesle,https://raw.githubusercontent.com/newsgl/arsposters/main/1149-BesplatneTureTeslaMuzej.webp,,Kids,"Музей водит детей от 4 до 7 лет на получасовую экскурсию с опытами. 2 ноября, понедельник, в 10:00, вход свободный по записи.","The museum runs a half-hour tour with experiments for children aged 4 to 7. Monday 2 November at 10:00, free with booking.","Muzej vodi decu od 4 do 7 godina na polučasovnu turu sa ogledima. U ponedeljak 2. novembara u 10.00, besplatno uz prijavu.","Экскурсия в **Музее Николы Теслы** для самых маленьких посетителей, рассчитана на детей от 4 до 7 лет. Гид рассказывает о Тесле и его изобретениях простыми словами, без школьной терминологии.

Опыты с электричеством показывают в лёгкой и безопасной форме, ближе к небольшому научному шоу, чем к лекции. Экскурсия длится около получаса, чтобы дети не устали.

Музей проводит такие экскурсии по понедельникам. Эта карточка про занятие в понедельник 2 ноября.

Время: начало в 10:00.

Цена: вход свободный, по предварительной записи.

Запись: по почте poseta@tesla-museum.org или по телефону 011/2433-886.","A tour of the **Nikola Tesla Museum** built for its youngest visitors, children aged 4 to 7. The guide talks about Tesla and his inventions in plain words, without textbook terminology.

The electricity demonstrations are kept light and safe, closer to a small science show than to a lecture. The tour runs about half an hour so that children do not tire of it.

The museum holds these tours on Mondays. This listing covers the session on Monday 2 November.

Time: starts at 10:00.

Price: free, with prior booking.

Booking: by email to poseta@tesla-museum.org or by phone on 011/2433-886.","Tura kroz **Muzej Nikole Tesle** namenjena najmlađim posetiocima, deci od 4 do 7 godina. Vodič priča o Tesli i njegovim izumima jednostavnim rečima, bez školske terminologije.

Ogledi sa elektricitetom izvode se lako i bezbedno, bliže malom naučnom šou nego predavanju, tako da deca gledaju struju na delu bez ijednog rizika.

Muzej ove ture drži ponedeljkom. Ova stranica se odnosi na termin u ponedeljak 2. novembara.

Vreme: početak u 10.00.

Cena: ulaz je slobodan, uz prethodnu prijavu.

Prijava: na poseta@tesla-museum.org ili telefonom na 011/2433-886.",10:00,0,Muzej Nikole Tesle,"Krunska 51, 11000 Beograd","44.805105,20.470700",https://tesla-museum.org/,@arsraws,,Muzej Nikole Tesle,https://tesla-museum.org/,poseta@tesla-museum.org,+381 11 2433886,4-7,,,"детям, музей, экскурсия, наука, бесплатно, Врачар","for kids, museum, guided tour, science, free, Vracar","za decu, muzej, tura, nauka, besplatno, Vračar"
11/9/2026,11/9/2026,9/4/2026,1150,Organization,Muzej Nikole Tesle,https://tesla-museum.org/,,ChildrensEvent,Бесплатные экскурсии для малышей в Музее Николы Теслы,Free guided tours for small children at the Nikola Tesla Museum,Besplatne ture za najmlađe u Muzeju Nikole Tesle,https://raw.githubusercontent.com/newsgl/arsposters/main/1150-BesplatneTureTeslaMuzej.webp,,Kids,"Музей водит детей от 4 до 7 лет на получасовую экскурсию с опытами. 9 ноября, понедельник, в 10:00, вход свободный по записи.","The museum runs a half-hour tour with experiments for children aged 4 to 7. Monday 9 November at 10:00, free with booking.","Muzej vodi decu od 4 do 7 godina na polučasovnu turu sa ogledima. U ponedeljak 9. novembara u 10.00, besplatno uz prijavu.","Экскурсия в **Музее Николы Теслы** для самых маленьких посетителей, рассчитана на детей от 4 до 7 лет. Гид рассказывает о Тесле и его изобретениях простыми словами, без школьной терминологии.

Опыты с электричеством показывают в лёгкой и безопасной форме, ближе к небольшому научному шоу, чем к лекции. Экскурсия длится около получаса, чтобы дети не устали.

Музей проводит такие экскурсии по понедельникам. Эта карточка про занятие в понедельник 9 ноября.

Время: начало в 10:00.

Цена: вход свободный, по предварительной записи.

Запись: по почте poseta@tesla-museum.org или по телефону 011/2433-886.","A tour of the **Nikola Tesla Museum** built for its youngest visitors, children aged 4 to 7. The guide talks about Tesla and his inventions in plain words, without textbook terminology.

The electricity demonstrations are kept light and safe, closer to a small science show than to a lecture. The tour runs about half an hour so that children do not tire of it.

The museum holds these tours on Mondays. This listing covers the session on Monday 9 November.

Time: starts at 10:00.

Price: free, with prior booking.

Booking: by email to poseta@tesla-museum.org or by phone on 011/2433-886.","Tura kroz **Muzej Nikole Tesle** namenjena najmlađim posetiocima, deci od 4 do 7 godina. Vodič priča o Tesli i njegovim izumima jednostavnim rečima, bez školske terminologije.

Ogledi sa elektricitetom izvode se lako i bezbedno, bliže malom naučnom šou nego predavanju, tako da deca gledaju struju na delu bez ijednog rizika.

Muzej ove ture drži ponedeljkom. Ova stranica se odnosi na termin u ponedeljak 9. novembara.

Vreme: početak u 10.00.

Cena: ulaz je slobodan, uz prethodnu prijavu.

Prijava: na poseta@tesla-museum.org ili telefonom na 011/2433-886.",10:00,0,Muzej Nikole Tesle,"Krunska 51, 11000 Beograd","44.805105,20.470700",https://tesla-museum.org/,@arsraws,,Muzej Nikole Tesle,https://tesla-museum.org/,poseta@tesla-museum.org,+381 11 2433886,4-7,,,"детям, музей, экскурсия, наука, бесплатно, Врачар","for kids, museum, guided tour, science, free, Vracar","za decu, muzej, tura, nauka, besplatno, Vračar"
11/16/2026,11/16/2026,9/4/2026,1151,Organization,Muzej Nikole Tesle,https://tesla-museum.org/,,ChildrensEvent,Бесплатные экскурсии для малышей в Музее Николы Теслы,Free guided tours for small children at the Nikola Tesla Museum,Besplatne ture za najmlađe u Muzeju Nikole Tesle,https://raw.githubusercontent.com/newsgl/arsposters/main/1151-BesplatneTureTeslaMuzej.webp,,Kids,"Музей водит детей от 4 до 7 лет на получасовую экскурсию с опытами. 16 ноября, понедельник, в 10:00, вход свободный по записи.","The museum runs a half-hour tour with experiments for children aged 4 to 7. Monday 16 November at 10:00, free with booking.","Muzej vodi decu od 4 do 7 godina na polučasovnu turu sa ogledima. U ponedeljak 16. novembara u 10.00, besplatno uz prijavu.","Экскурсия в **Музее Николы Теслы** для самых маленьких посетителей, рассчитана на детей от 4 до 7 лет. Гид рассказывает о Тесле и его изобретениях простыми словами, без школьной терминологии.

Опыты с электричеством показывают в лёгкой и безопасной форме, ближе к небольшому научному шоу, чем к лекции. Экскурсия длится около получаса, чтобы дети не устали.

Музей проводит такие экскурсии по понедельникам. Эта карточка про занятие в понедельник 16 ноября.

Время: начало в 10:00.

Цена: вход свободный, по предварительной записи.

Запись: по почте poseta@tesla-museum.org или по телефону 011/2433-886.","A tour of the **Nikola Tesla Museum** built for its youngest visitors, children aged 4 to 7. The guide talks about Tesla and his inventions in plain words, without textbook terminology.

The electricity demonstrations are kept light and safe, closer to a small science show than to a lecture. The tour runs about half an hour so that children do not tire of it.

The museum holds these tours on Mondays. This listing covers the session on Monday 16 November.

Time: starts at 10:00.

Price: free, with prior booking.

Booking: by email to poseta@tesla-museum.org or by phone on 011/2433-886.","Tura kroz **Muzej Nikole Tesle** namenjena najmlađim posetiocima, deci od 4 do 7 godina. Vodič priča o Tesli i njegovim izumima jednostavnim rečima, bez školske terminologije.

Ogledi sa elektricitetom izvode se lako i bezbedno, bliže malom naučnom šou nego predavanju, tako da deca gledaju struju na delu bez ijednog rizika.

Muzej ove ture drži ponedeljkom. Ova stranica se odnosi na termin u ponedeljak 16. novembara.

Vreme: početak u 10.00.

Cena: ulaz je slobodan, uz prethodnu prijavu.

Prijava: na poseta@tesla-museum.org ili telefonom na 011/2433-886.",10:00,0,Muzej Nikole Tesle,"Krunska 51, 11000 Beograd","44.805105,20.470700",https://tesla-museum.org/,@arsraws,,Muzej Nikole Tesle,https://tesla-museum.org/,poseta@tesla-museum.org,+381 11 2433886,4-7,,,"детям, музей, экскурсия, наука, бесплатно, Врачар","for kids, museum, guided tour, science, free, Vracar","za decu, muzej, tura, nauka, besplatno, Vračar"
